X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-78.3257385,45.5850458,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,,,Bluff Lake (Unofficial Name),17-7086-50512,SPROULE,Yearlings,1300,45.5850458,-78.3257385,1
-78.0842998,44.8716025,Bancroft District,2012,Brook Trout,,,Burleigh Lake (Unofficial Name),17-7303-49726,CHANDOS,Yearlings,1000,44.8716025,-78.0842998,2
-78.47814,45.45127,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Cecil Lake,lac Cecil,,17-6955-50358,LAWRENCE,Yearlings,400,45.45127,-78.47814,3
-78.008146,45.0703757,Bancroft District,2012,Brook Trout,,,Mitchell Lake (Unofficial Name),17-7355-49949,HERSCHEL,Yearlings,1800,45.0703757,-78.008146,4
-78.32084,45.47171,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Farm Bay Lake,lac Farm Bay,,17-7094-50386,NIGHTINGALE,Yearlings,1200,45.47171,-78.32084,5
-78.298398,45.5567329,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Leaf Lake,lac Leaf,,17-7107-50492,AIRY,Yearlings,700,45.5567329,-78.298398,6
-78.1300276,44.8430544,Bancroft District,2012,Brook Trout,,,Stethan Lake (Unofficial Name),17-7268-49693,ANSTRUTHER,Yearlings,300,44.8430544,-78.1300276,7
-77.6643626,45.8565617,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Length Lake,lac Length,,18-2931-50814,STRATTON,Yearlings,3500,45.8565617,-77.6643626,8
-78.8983246,44.9408079,Bancroft District,2012,Brook Trout,,,Doe Lake (Unofficial Name),17-6658-49783,ANSON,Yearlings,1900,44.9408079,-78.8983246,9
-78.34222,45.64755,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Little Minnow Lake,petit lac Minnow,,17-7071-50581,SPROULE,Yearlings,1000,45.64755,-78.34222,10
-78.8682785,45.1697981,Bancroft District,2012,Brook Trout,,,Lost Lake (Unofficial Name),17-6675-50038,RIDOUT,Yearlings,400,45.1697981,-78.8682785,11
-78.39928,45.6812,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Marmot Lake,lac Marmot,,17-7025-50619,BOWER,Yearlings,600,45.6812,-78.39928,12
-78.7365209,45.1870651,Bancroft District,2012,Brook Trout,,,Rabbit Lake (Unofficial Name),17-6778-50060,SHERBORNE,Yearlings,500,45.1870651,-78.7365209,13
-78.35417,45.64838,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Myra Lake,lac Myra,,17-7062-50582,SPROULE,Yearlings,600,45.64838,-78.35417,14
-76.8678925,45.0969892,Bancroft District,2012,Brook Trout,,,Grace Lake (Unofficial Name),18-3530-49952,SOUTH CANONTO,Yearlings,300,45.0969892,-76.8678925,15
-78.38195,45.48394,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Sandy Lake,lac Sandy,,17-7046-50398,NIGHTINGALE,Yearlings,700,45.48394,-78.38195,16
-78.7833831,46.1406461,Algonquin Park Zone - Ontario Parks,2011,Brook Trout,Thompson Lake,lac Thompson,,17-6712-51129,LAUDER,Yearlings,1000,46.1406461,-78.7833831,17
-77.624434,45.0208895,Bancroft District,2012,Brook Trout,,,Dovetail Lake (Unofficial Name),18-2932-49884,MAYO,Yearlings,700,45.0208895,-77.624434,18
-78.11693,45.63366,Algonquin Park Zone - Ontario Parks,2011,Splake,Billy Lake,lac Billy,,17-7247-50572,PRESTON,Yearlings,3400,45.63366,-78.11693,19
-78.1734996,44.8855496,Bancroft District,2012,Brook Trout,,,Gil Lake (Unofficial Name),17-7232-49739,ANSTRUTHER,Yearlings,250,44.8855496,-78.1734996,20
-78.68183,45.485,Algonquin Park Zone - Ontario Parks,2011,Splake,Claude Lake,lac Claude,,17-6811-50390,PECK,Yearlings,1200,45.485,-78.68183,21
-78.0760657,45.2080633,Bancroft District,2012,Brook Trout,,,North Chainy Lake (Unofficial Name),17-7296-50100,MCCLURE,Yearlings,550,45.2080633,-78.0760657,22
-78.8613135,45.4369322,Algonquin Park Zone - Ontario Parks,2011,Splake,Ermine Lake,lac Ermine,,17-6669-50331,FINLAYSON,Yearlings,3500,45.4369322,-78.8613135,23
-78.1358255,45.6057561,Bancroft District,2012,Brook Trout,Barns Lake,lac Barns,,17-7236-50534,MURCHISON,Yearlings,1150,45.6057561,-78.1358255,24
-78.63556,45.54978,Algonquin Park Zone - Ontario Parks,2011,Splake,Found Lake,lac Found,,17-6845-50465,PECK,Yearlings,1200,45.54978,-78.63556,25
-77.3233,45.11894,Bancroft District,2012,Brook Trout,Big Birch Lake,grand lac Birch,,18-3172-49986,DENBIGH,Yearlings,1150,45.11894,-77.3233,26
-78.66446,45.51644,Algonquin Park Zone - Ontario Parks,2011,Splake,Grape Lake,lac Grape,,17-6824-50428,PECK,Yearlings,1000,45.51644,-78.66446,27
