fish,date,Site,trap,species,sex,status,TL,SL,head_width,body_width,papilla,total_mass,liver,acc_gland,total_gonad,gsi,hsi,body_condition,Comments (note intersex or fin erosion),substrate
529,April,Gr2,B1,NM,F,NRF,72.98,59.44,NA,NA,NA,4.097,NA,NA,NA,NA,NA,NA,NA,Gravel
539,April,Gr2,B1,NM,M,NRM,121.81,102.63,NA,NA,NA,22.972,NA,NA,NA,NA,NA,NA,NA,Gravel
796,May,Rp1,Net,NM,M,PM,117.96,98.54,21.07,18.71,6.04,20.336,0.407,0.138,0.409,NA,NA,NA,NA,Riprap
823,May,Rp1,Net,NM,M,PM,144.38,121.83,23.28,21.17,7.01,32.354,0.492,0.405,0.675,NA,NA,NA,NA,Riprap
824,May,Rp1,Net,NM,M,PM,136.84,113.06,25.59,22.46,7.06,28.347,0.564,0.267,0.539,NA,NA,NA,NA,Riprap
825,May,Rp1,Net,NM,M,PM,129.46,107.55,22.29,19.31,6.72,26.819,0.473,0.227,0.532,NA,NA,NA,NA,Riprap
826,May,Rp1,Net,NM,M,PM,123.52,103.35,21.75,20.63,7.19,24.169,0.418,0.229,0.456,NA,NA,NA,NA,Riprap
827,May,Rp1,Net,NM,M,PM,124.03,104.37,22.62,20.65,6.48,26.269,0.559,0.225,0.418,NA,NA,NA,NA,Riprap
828,May,Rp1,Net,NM,M,PM,119.67,100.03,21.32,19.46,6.32,21.284,0.944,0.289,0.526,NA,NA,NA,NA,Riprap
829,May,Rp1,Net,NM,M,SM,55.45,45.72,7.66,8.71,4.24,1.994,0.012,0.002,0.182,NA,NA,NA,NA,Riprap
830,May,Rp1,Net,NM,M,SM,77.75,63.26,9.72,10.37,5.29,4.422,0.029,0.004,0.208,NA,NA,NA,NA,Riprap
831,May,Rp1,Net,NM,M,SM,66.73,53.87,9.96,10.87,5.91,4.019,0.041,0.006,0.308,NA,NA,NA,NA,Riprap
832,May,Rp1,Net,NM,M,SM,68.09,55.17,9.25,10.28,5.39,3.582,0.039,0.016,0.293,NA,NA,NA,NA,Riprap
833,May,Rp1,Net,NM,M,SM,69.05,56.32,9.54,10.77,6.09,3.769,0.028,0.007,0.213,NA,NA,NA,NA,Riprap
